No,Product Type,Keywords,Primary (Hex),Secondary (Hex),CTA (Hex),Background (Hex),Text (Hex),Border (Hex),Notes,Tailwind_Config,Glow_Effects,Dark_Mode_Colors,Semantic_Mapping,Data_Viz_Palette,Semantic_Tokens
29,Podcast Platform,"podcast, platform",#3B82F6,#60A5FA,#F97316,#F8FAFC,#1E293B,#E2E8F0,Dark + Audio waveform accents,"{ primary: '#3B82F6', secondary: '#60A5FA', cta: '#F97316', background: '#F8FAFC', foreground: '#1E293B' }","box-shadow: 0 0 20px rgba(249,115,22,0.4); text-shadow: 0 0 10px rgba(249,115,22,0.6);","{ background: '#0A0A0A', text: '#F8FAFC', primary: '#3B82F6', secondary: '#60A5FA', cta: '#F97316', border: '#27272A' }","{""background"":""#F8FAFC"",""foreground"":""#1E293B"",""primary"":""#3B82F6"",""primary-foreground"":""#FFFFFF"",""secondary"":""#60A5FA"",""secondary-foreground"":""#000000"",""muted"":""#526fa0"",""accent"":""#F97316"",""destructive"":""#EF4444""}","[""#9dc0fa"",""#6ca1f8"",""#3B82F6"",""#0b63f3"",""#094fc2"",""#60a5fa"",""#2f89f8""]","{""background"":""#F8FAFC"",""foreground"":""#1E293B"",""card"":""#FFFFFF"",""card-foreground"":""#1E293B"",""popover"":""#FFFFFF"",""popover-foreground"":""#1E293B"",""primary"":""#3B82F6"",""primary-foreground"":""#FFFFFF"",""secondary"":""#60A5FA"",""secondary-foreground"":""#000000"",""muted"":""#F4F4F5"",""muted-foreground"":""#71717A"",""accent"":""#F97316"",""accent-foreground"":""#000000"",""destructive"":""#EF4444"",""destructive-foreground"":""#FFFFFF"",""border"":""#E2E8F0"",""input"":""#E2E8F0"",""ring"":""#3B82F6""}"
30,Dating App,"dating, app",#3B82F6,#60A5FA,#F97316,#F8FAFC,#1E293B,#E2E8F0,Warm + Romantic (Pink/Red gradients),"{ primary: '#3B82F6', secondary: '#60A5FA', cta: '#F97316', background: '#F8FAFC', foreground: '#1E293B' }","box-shadow: 0 0 20px rgba(249,115,22,0.4); text-shadow: 0 0 10px rgba(249,115,22,0.6);","{ background: '#0A0A0A', text: '#F8FAFC', primary: '#3B82F6', secondary: '#60A5FA', cta: '#F97316', border: '#27272A' }","{""background"":""#F8FAFC"",""foreground"":""#1E293B"",""primary"":""#3B82F6"",""primary-foreground"":""#FFFFFF"",""secondary"":""#60A5FA"",""secondary-foreground"":""#000000"",""muted"":""#526fa0"",""accent"":""#F97316"",""destructive"":""#EF4444""}","[""#9dc0fa"",""#6ca1f8"",""#3B82F6"",""#0b63f3"",""#094fc2"",""#60a5fa"",""#2f89f8""]","{""background"":""#F8FAFC"",""foreground"":""#1E293B"",""card"":""#FFFFFF"",""card-foreground"":""#1E293B"",""popover"":""#FFFFFF"",""popover-foreground"":""#1E293B"",""primary"":""#3B82F6"",""primary-foreground"":""#FFFFFF"",""secondary"":""#60A5FA"",""secondary-foreground"":""#000000"",""muted"":""#F4F4F5"",""muted-foreground"":""#71717A"",""accent"":""#F97316"",""accent-foreground"":""#000000"",""destructive"":""#EF4444"",""destructive-foreground"":""#FFFFFF"",""border"":""#E2E8F0"",""input"":""#E2E8F0"",""ring"":""#3B82F6""}"
31,Micro-Credentials/Badges Platform,"micro, credentials, badges, platform",#3B82F6,#60A5FA,#F97316,#F8FAFC,#1E293B,#E2E8F0,Trust Blue + Gold (#FFD700),"{ primary: '#3B82F6', secondary: '#60A5FA', cta: '#F97316', background: '#F8FAFC', foreground: '#1E293B' }","box-shadow: 0 0 20px rgba(249,115,22,0.4); text-shadow: 0 0 10px rgba(249,115,22,0.6);","{ background: '#0A0A0A', text: '#F8FAFC', primary: '#3B82F6', secondary: '#60A5FA', cta: '#F97316', border: '#27272A' }","{""background"":""#F8FAFC"",""foreground"":""#1E293B"",""primary"":""#3B82F6"",""primary-foreground"":""#FFFFFF"",""secondary"":""#60A5FA"",""secondary-foreground"":""#000000"",""muted"":""#526fa0"",""accent"":""#F97316"",""destructive"":""#EF4444""}","[""#9dc0fa"",""#6ca1f8"",""#3B82F6"",""#0b63f3"",""#094fc2"",""#60a5fa"",""#2f89f8""]","{""background"":""#F8FAFC"",""foreground"":""#1E293B"",""card"":""#FFFFFF"",""card-foreground"":""#1E293B"",""popover"":""#FFFFFF"",""popover-foreground"":""#1E293B"",""primary"":""#3B82F6"",""primary-foreground"":""#FFFFFF"",""secondary"":""#60A5FA"",""secondary-foreground"":""#000000"",""muted"":""#F4F4F5"",""muted-foreground"":""#71717A"",""accent"":""#F97316"",""accent-foreground"":""#000000"",""destructive"":""#EF4444"",""destructive-foreground"":""#FFFFFF"",""border"":""#E2E8F0"",""input"":""#E2E8F0"",""ring"":""#3B82F6""}"
32,Knowledge Base/Documentation,"knowledge, base, documentation",#3B82F6,#60A5FA,#F97316,#F8FAFC,#1E293B,#E2E8F0,Clean hierarchy + minimal color,"{ primary: '#3B82F6', secondary: '#60A5FA', cta: '#F97316', background: '#F8FAFC', foreground: '#1E293B' }","box-shadow: 0 0 20px rgba(249,115,22,0.4); text-shadow: 0 0 10px rgba(249,115,22,0.6);","{ background: '#0A0A0A', text: '#F8FAFC', primary: '#3B82F6', secondary: '#60A5FA', cta: '#F97316', border: '#27272A' }","{""background"":""#F8FAFC"",""foreground"":""#1E293B"",""primary"":""#3B82F6"",""primary-foreground"":""#FFFFFF"",""secondary"":""#60A5FA"",""secondary-foreground"":""#000000"",""muted"":""#526fa0"",""accent"":""#F97316"",""destructive"":""#EF4444""}","[""#9dc0fa"",""#6ca1f8"",""#3B82F6"",""#0b63f3"",""#094fc2"",""#60a5fa"",""#2f89f8""]","{""background"":""#F8FAFC"",""foreground"":""#1E293B"",""card"":""#FFFFFF"",""card-foreground"":""#1E293B"",""popover"":""#FFFFFF"",""popover-foreground"":""#1E293B"",""primary"":""#3B82F6"",""primary-foreground"":""#FFFFFF"",""secondary"":""#60A5FA"",""secondary-foreground"":""#000000"",""muted"":""#F4F4F5"",""muted-foreground"":""#71717A"",""accent"":""#F97316"",""accent-foreground"":""#000000"",""destructive"":""#EF4444"",""destructive-foreground"":""#FFFFFF"",""border"":""#E2E8F0"",""input"":""#E2E8F0"",""ring"":""#3B82F6""}"
33,Hyperlocal Services,"hyperlocal, services",#3B82F6,#60A5FA,#F97316,#F8FAFC,#1E293B,#E2E8F0,Location markers + Trust colors,"{ primary: '#3B82F6', secondary: '#60A5FA', cta: '#F97316', background: '#F8FAFC', foreground: '#1E293B' }","box-shadow: 0 0 20px rgba(249,115,22,0.4); text-shadow: 0 0 10px rgba(249,115,22,0.6);","{ background: '#0A0A0A', text: '#F8FAFC', primary: '#3B82F6', secondary: '#60A5FA', cta: '#F97316', border: '#27272A' }","{""background"":""#F8FAFC"",""foreground"":""#1E293B"",""primary"":""#3B82F6"",""primary-foreground"":""#FFFFFF"",""secondary"":""#60A5FA"",""secondary-foreground"":""#000000"",""muted"":""#526fa0"",""accent"":""#F97316"",""destructive"":""#EF4444""}","[""#9dc0fa"",""#6ca1f8"",""#3B82F6"",""#0b63f3"",""#094fc2"",""#60a5fa"",""#2f89f8""]","{""background"":""#F8FAFC"",""foreground"":""#1E293B"",""card"":""#FFFFFF"",""card-foreground"":""#1E293B"",""popover"":""#FFFFFF"",""popover-foreground"":""#1E293B"",""primary"":""#3B82F6"",""primary-foreground"":""#FFFFFF"",""secondary"":""#60A5FA"",""secondary-foreground"":""#000000"",""muted"":""#F4F4F5"",""muted-foreground"":""#71717A"",""accent"":""#F97316"",""accent-foreground"":""#000000"",""destructive"":""#EF4444"",""destructive-foreground"":""#FFFFFF"",""border"":""#E2E8F0"",""input"":""#E2E8F0"",""ring"":""#3B82F6""}"
34,Beauty/Spa/Wellness Service,"beauty, spa, wellness, service",#10B981,#34D399,#8B5CF6,#ECFDF5,#064E3B,#A7F3D0,Soft pastels (Pink #FFB6C1 Sage #90EE90) + Cream + Gold accents,"{ primary: '#10B981', secondary: '#34D399', cta: '#8B5CF6', background: '#ECFDF5', foreground: '#064E3B' }","box-shadow: 0 0 20px rgba(139,92,246,0.4); text-shadow: 0 0 10px rgba(139,92,246,0.6);","{ background: '#0A0A0A', text: '#F8FAFC', primary: '#10B981', secondary: '#34D399', cta: '#8B5CF6', border: '#27272A' }","{""background"":""#ECFDF5"",""foreground"":""#064E3B"",""primary"":""#10B981"",""primary-foreground"":""#000000"",""secondary"":""#34D399"",""secondary-foreground"":""#000000"",""muted"":""#11dca6"",""accent"":""#8B5CF6"",""destructive"":""#EF4444""}","[""#40efb5"",""#14e8a2"",""#10B981"",""#0c8a60"",""#085b40"",""#34d399"",""#26ae7c""]","{""background"":""#ECFDF5"",""foreground"":""#064E3B"",""card"":""#FFFFFF"",""card-foreground"":""#064E3B"",""popover"":""#FFFFFF"",""popover-foreground"":""#064E3B"",""primary"":""#10B981"",""primary-foreground"":""#000000"",""secondary"":""#34D399"",""secondary-foreground"":""#000000"",""muted"":""#F4F4F5"",""muted-foreground"":""#71717A"",""accent"":""#8B5CF6"",""accent-foreground"":""#FFFFFF"",""destructive"":""#EF4444"",""destructive-foreground"":""#FFFFFF"",""border"":""#A7F3D0"",""input"":""#A7F3D0"",""ring"":""#10B981""}"
35,Luxury/Premium Brand,"luxury, premium, brand",#1C1917,#44403C,#CA8A04,#FAFAF9,#0C0A09,#D6D3D1,Black + Gold (#FFD700) + White + Minimal accent,"{ primary: '#1C1917', secondary: '#44403C', cta: '#CA8A04', background: '#FAFAF9', foreground: '#0C0A09' }","box-shadow: 0 0 20px rgba(202,138,4,0.4); text-shadow: 0 0 10px rgba(202,138,4,0.6);","{ background: '#0A0A0A', text: '#F8FAFC', primary: '#272320', secondary: '#58534E', cta: '#CA8A04', border: '#27272A' }","{""background"":""#FAFAF9"",""foreground"":""#0C0A09"",""primary"":""#1C1917"",""primary-foreground"":""#FFFFFF"",""secondary"":""#44403C"",""secondary-foreground"":""#FFFFFF"",""muted"":""#63534b"",""accent"":""#CA8A04"",""destructive"":""#EF4444""}","[""#544b45"",""#38322e"",""#1C1917"",""#000000"",""#000000"",""#44403c"",""#292624""]","{""background"":""#FAFAF9"",""foreground"":""#0C0A09"",""card"":""#FFFFFF"",""card-foreground"":""#0C0A09"",""popover"":""#FFFFFF"",""popover-foreground"":""#0C0A09"",""primary"":""#1C1917"",""primary-foreground"":""#FFFFFF"",""secondary"":""#44403C"",""secondary-foreground"":""#FFFFFF"",""muted"":""#F4F4F5"",""muted-foreground"":""#71717A"",""accent"":""#CA8A04"",""accent-foreground"":""#000000"",""destructive"":""#EF4444"",""destructive-foreground"":""#FFFFFF"",""border"":""#D6D3D1"",""input"":""#D6D3D1"",""ring"":""#1C1917""}"
36,Restaurant/Food Service,"restaurant, food, service",#DC2626,#F87171,#CA8A04,#FEF2F2,#450A0A,#FECACA,Warm colors (Orange Red Brown) + appetizing imagery,"{ primary: '#DC2626', secondary: '#F87171', cta: '#CA8A04', background: '#FEF2F2', foreground: '#450A0A' }","box-shadow: 0 0 20px rgba(202,138,4,0.4); text-shadow: 0 0 10px rgba(202,138,4,0.6);","{ background: '#0A0A0A', text: '#F8FAFC', primary: '#DC2626', secondary: '#F87171', cta: '#CA8A04', border: '#27272A' }","{""background"":""#FEF2F2"",""foreground"":""#450A0A"",""primary"":""#DC2626"",""primary-foreground"":""#FFFFFF"",""secondary"":""#F87171"",""secondary-foreground"":""#000000"",""muted"":""#cb1d1d"",""accent"":""#CA8A04"",""destructive"":""#EF4444""}","[""#ea7e7e"",""#e35252"",""#DC2626"",""#b21d1d"",""#861616"",""#f87171"",""#f64040""]","{""background"":""#FEF2F2"",""foreground"":""#450A0A"",""card"":""#FFFFFF"",""card-foreground"":""#450A0A"",""popover"":""#FFFFFF"",""popover-foreground"":""#450A0A"",""primary"":""#DC2626"",""primary-foreground"":""#FFFFFF"",""secondary"":""#F87171"",""secondary-foreground"":""#000000"",""muted"":""#F4F4F5"",""muted-foreground"":""#71717A"",""accent"":""#CA8A04"",""accent-foreground"":""#000000"",""destructive"":""#EF4444"",""destructive-foreground"":""#FFFFFF"",""border"":""#FECACA"",""input"":""#FECACA"",""ring"":""#DC2626""}"
37,Fitness/Gym App,"fitness, gym, app",#DC2626,#F87171,#16A34A,#FEF2F2,#1F2937,#FECACA,Energetic (Orange #FF6B35 Electric Blue) + Dark bg,"{ primary: '#DC2626', secondary: '#F87171', cta: '#16A34A', background: '#FEF2F2', foreground: '#1F2937' }","box-shadow: 0 0 20px rgba(22,163,74,0.4); text-shadow: 0 0 10px rgba(22,163,74,0.6);","{ background: '#0A0A0A', text: '#F8FAFC', primary: '#DC2626', secondary: '#F87171', cta: '#16A34A', border: '#27272A' }","{""background"":""#FEF2F2"",""foreground"":""#1F2937"",""primary"":""#DC2626"",""primary-foreground"":""#FFFFFF"",""secondary"":""#F87171"",""secondary-foreground"":""#000000"",""muted"":""#567299"",""accent"":""#16A34A"",""destructive"":""#EF4444""}","[""#ea7e7e"",""#e35252"",""#DC2626"",""#b21d1d"",""#861616"",""#f87171"",""#f64040""]","{""background"":""#FEF2F2"",""foreground"":""#1F2937"",""card"":""#FFFFFF"",""card-foreground"":""#1F2937"",""popover"":""#FFFFFF"",""popover-foreground"":""#1F2937"",""primary"":""#DC2626"",""primary-foreground"":""#FFFFFF"",""secondary"":""#F87171"",""secondary-foreground"":""#000000"",""muted"":""#F4F4F5"",""muted-foreground"":""#71717A"",""accent"":""#16A34A"",""accent-foreground"":""#FFFFFF"",""destructive"":""#EF4444"",""destructive-foreground"":""#FFFFFF"",""border"":""#FECACA"",""input"":""#FECACA"",""ring"":""#DC2626""}"
38,Real Estate/Property,"real, estate, property",#0F766E,#14B8A6,#0369A1,#F0FDFA,#134E4A,#99F6E4,Trust Blue (#0077B6) + Gold accents + White,"{ primary: '#0F766E', secondary: '#14B8A6', cta: '#0369A1', background: '#F0FDFA', foreground: '#134E4A' }","box-shadow: 0 0 20px rgba(3,105,161,0.4); text-shadow: 0 0 10px rgba(3,105,161,0.6);","{ background: '#0A0A0A', text: '#F8FAFC', primary: '#0F766E', secondary: '#14B8A6', cta: '#037EC1', border: '#27272A' }","{""background"":""#F0FDFA"",""foreground"":""#134E4A"",""primary"":""#0F766E"",""primary-foreground"":""#FFFFFF"",""secondary"":""#14B8A6"",""secondary-foreground"":""#000000"",""muted"":""#31c9bf"",""accent"":""#0369A1"",""destructive"":""#EF4444""}","[""#1bd0c2"",""#15a398"",""#0F766E"",""#094944"",""#031b1a"",""#14b8a6"",""#0f8a7c""]","{""background"":""#F0FDFA"",""foreground"":""#134E4A"",""card"":""#FFFFFF"",""card-foreground"":""#134E4A"",""popover"":""#FFFFFF"",""popover-foreground"":""#134E4A"",""primary"":""#0F766E"",""primary-foreground"":""#FFFFFF"",""secondary"":""#14B8A6"",""secondary-foreground"":""#000000"",""muted"":""#F4F4F5"",""muted-foreground"":""#71717A"",""accent"":""#0369A1"",""accent-foreground"":""#FFFFFF"",""destructive"":""#EF4444"",""destructive-foreground"":""#FFFFFF"",""border"":""#99F6E4"",""input"":""#99F6E4"",""ring"":""#0F766E""}"
39,Travel/Tourism Agency,"travel, tourism, agency",#EC4899,#F472B6,#06B6D4,#FDF2F8,#831843,#FBCFE8,Vibrant destination colors + Sky Blue + Warm accents,"{ primary: '#EC4899', secondary: '#F472B6', cta: '#06B6D4', background: '#FDF2F8', foreground: '#831843' }","box-shadow: 0 0 20px rgba(6,182,212,0.4); text-shadow: 0 0 10px rgba(6,182,212,0.6);","{ background: '#0A0A0A', text: '#F8FAFC', primary: '#EC4899', secondary: '#F472B6', cta: '#06B6D4', border: '#27272A' }","{""background"":""#FDF2F8"",""foreground"":""#831843"",""primary"":""#EC4899"",""primary-foreground"":""#000000"",""secondary"":""#F472B6"",""secondary-foreground"":""#000000"",""muted"":""#e0548c"",""accent"":""#06B6D4"",""destructive"":""#EF4444""}","[""#f6a4cc"",""#f176b3"",""#EC4899"",""#e71a7f"",""#bb1366"",""#f472b6"",""#f0439d""]","{""background"":""#FDF2F8"",""foreground"":""#831843"",""card"":""#FFFFFF"",""card-foreground"":""#831843"",""popover"":""#FFFFFF"",""popover-foreground"":""#831843"",""primary"":""#EC4899"",""primary-foreground"":""#000000"",""secondary"":""#F472B6"",""secondary-foreground"":""#000000"",""muted"":""#F4F4F5"",""muted-foreground"":""#71717A"",""accent"":""#06B6D4"",""accent-foreground"":""#000000"",""destructive"":""#EF4444"",""destructive-foreground"":""#FFFFFF"",""border"":""#FBCFE8"",""input"":""#FBCFE8"",""ring"":""#EC4899""}"
40,Hotel/Hospitality,"hotel, hospitality",#1E3A8A,#3B82F6,#CA8A04,#F8FAFC,#1E40AF,#BFDBFE,Warm neutrals + Gold (#D4AF37) + Brand accent,"{ primary: '#1E3A8A', secondary: '#3B82F6', cta: '#CA8A04', background: '#F8FAFC', foreground: '#1E40AF' }","box-shadow: 0 0 20px rgba(202,138,4,0.4); text-shadow: 0 0 10px rgba(202,138,4,0.6);","{ background: '#0A0A0A', text: '#F8FAFC', primary: '#2A51C1', secondary: '#3B82F6', cta: '#CA8A04', border: '#27272A' }","{""background"":""#F8FAFC"",""foreground"":""#1E40AF"",""primary"":""#1E3A8A"",""primary-foreground"":""#FFFFFF"",""secondary"":""#3B82F6"",""secondary-foreground"":""#FFFFFF"",""muted"":""#7d96e9"",""accent"":""#CA8A04"",""destructive"":""#EF4444""}","[""#3a62d4"",""#274cb4"",""#1E3A8A"",""#152860"",""#0c1736"",""#3b82f6"",""#0b63f3""]","{""background"":""#F8FAFC"",""foreground"":""#1E40AF"",""card"":""#FFFFFF"",""card-foreground"":""#1E40AF"",""popover"":""#FFFFFF"",""popover-foreground"":""#1E40AF"",""primary"":""#1E3A8A"",""primary-foreground"":""#FFFFFF"",""secondary"":""#3B82F6"",""secondary-foreground"":""#FFFFFF"",""muted"":""#F4F4F5"",""muted-foreground"":""#71717A"",""accent"":""#CA8A04"",""accent-foreground"":""#000000"",""destructive"":""#EF4444"",""destructive-foreground"":""#FFFFFF"",""border"":""#BFDBFE"",""input"":""#BFDBFE"",""ring"":""#1E3A8A""}"
41,Wedding/Event Planning,"wedding, event, planning",#7C3AED,#A78BFA,#F97316,#FAF5FF,#4C1D95,#DDD6FE,Soft Pink (#FFD6E0) + Gold + Cream + Sage,"{ primary: '#7C3AED', secondary: '#A78BFA', cta: '#F97316', background: '#FAF5FF', foreground: '#4C1D95' }","box-shadow: 0 0 20px rgba(249,115,22,0.4); text-shadow: 0 0 10px rgba(249,115,22,0.6);","{ background: '#0A0A0A', text: '#F8FAFC', primary: '#7C3AED', secondary: '#A78BFA', cta: '#F97316', border: '#27272A' }","{""background"":""#FAF5FF"",""foreground"":""#4C1D95"",""primary"":""#7C3AED"",""primary-foreground"":""#FFFFFF"",""secondary"":""#A78BFA"",""secondary-foreground"":""#000000"",""muted"":""#9869e2"",""accent"":""#F97316"",""destructive"":""#EF4444""}","[""#ba97f6"",""#9b69f1"",""#7C3AED"",""#5f14e0"",""#4b10b1"",""#a78bfa"",""#825af8""]","{""background"":""#FAF5FF"",""foreground"":""#4C1D95"",""card"":""#FFFFFF"",""card-foreground"":""#4C1D95"",""popover"":""#FFFFFF"",""popover-foreground"":""#4C1D95"",""primary"":""#7C3AED"",""primary-foreground"":""#FFFFFF"",""secondary"":""#A78BFA"",""secondary-foreground"":""#000000"",""muted"":""#F4F4F5"",""muted-foreground"":""#71717A"",""accent"":""#F97316"",""accent-foreground"":""#000000"",""destructive"":""#EF4444"",""destructive-foreground"":""#FFFFFF"",""border"":""#DDD6FE"",""input"":""#DDD6FE"",""ring"":""#7C3AED""}"
42,Legal Services,"legal, services",#1E3A8A,#1E40AF,#B45309,#F8FAFC,#0F172A,#CBD5E1,Navy Blue (#1E3A5F) + Gold + White,"{ primary: '#1E3A8A', secondary: '#1E40AF', cta: '#B45309', background: '#F8FAFC', foreground: '#0F172A' }","box-shadow: 0 0 20px rgba(180,83,9,0.4); text-shadow: 0 0 10px rgba(180,83,9,0.6);","{ background: '#0A0A0A', text: '#F8FAFC', primary: '#2A51C1', secondary: '#2753E3', cta: '#B45309', border: '#27272A' }","{""background"":""#F8FAFC"",""foreground"":""#0F172A"",""primary"":""#1E3A8A"",""primary-foreground"":""#FFFFFF"",""secondary"":""#1E40AF"",""secondary-foreground"":""#FFFFFF"",""muted"":""#37559b"",""accent"":""#B45309"",""destructive"":""#EF4444""}","[""#3a62d4"",""#274cb4"",""#1E3A8A"",""#152860"",""#0c1736"",""#1e40af"",""#173083""]","{""background"":""#F8FAFC"",""foreground"":""#0F172A"",""card"":""#FFFFFF"",""card-foreground"":""#0F172A"",""popover"":""#FFFFFF"",""popover-foreground"":""#0F172A"",""primary"":""#1E3A8A"",""primary-foreground"":""#FFFFFF"",""secondary"":""#1E40AF"",""secondary-foreground"":""#FFFFFF"",""muted"":""#F4F4F5"",""muted-foreground"":""#71717A"",""accent"":""#B45309"",""accent-foreground"":""#FFFFFF"",""destructive"":""#EF4444"",""destructive-foreground"":""#FFFFFF"",""border"":""#CBD5E1"",""input"":""#CBD5E1"",""ring"":""#1E3A8A""}"
43,Insurance Platform,"insurance, platform",#3B82F6,#60A5FA,#F97316,#F8FAFC,#1E293B,#E2E8F0,Trust Blue (#0066CC) + Green (security) + Neutral,"{ primary: '#3B82F6', secondary: '#60A5FA', cta: '#F97316', background: '#F8FAFC', foreground: '#1E293B' }","box-shadow: 0 0 20px rgba(249,115,22,0.4); text-shadow: 0 0 10px rgba(249,115,22,0.6);","{ background: '#0A0A0A', text: '#F8FAFC', primary: '#3B82F6', secondary: '#60A5FA', cta: '#F97316', border: '#27272A' }","{""background"":""#F8FAFC"",""foreground"":""#1E293B"",""primary"":""#3B82F6"",""primary-foreground"":""#FFFFFF"",""secondary"":""#60A5FA"",""secondary-foreground"":""#000000"",""muted"":""#526fa0"",""accent"":""#F97316"",""destructive"":""#EF4444""}","[""#9dc0fa"",""#6ca1f8"",""#3B82F6"",""#0b63f3"",""#094fc2"",""#60a5fa"",""#2f89f8""]","{""background"":""#F8FAFC"",""foreground"":""#1E293B"",""card"":""#FFFFFF"",""card-foreground"":""#1E293B"",""popover"":""#FFFFFF"",""popover-foreground"":""#1E293B"",""primary"":""#3B82F6"",""primary-foreground"":""#FFFFFF"",""secondary"":""#60A5FA"",""secondary-foreground"":""#000000"",""muted"":""#F4F4F5"",""muted-foreground"":""#71717A"",""accent"":""#F97316"",""accent-foreground"":""#000000"",""destructive"":""#EF4444"",""destructive-foreground"":""#FFFFFF"",""border"":""#E2E8F0"",""input"":""#E2E8F0"",""ring"":""#3B82F6""}"
44,Banking/Traditional Finance,"banking, traditional, finance",#0F766E,#14B8A6,#0369A1,#F0FDFA,#134E4A,#99F6E4,Navy (#0A1628) + Trust Blue + Gold accents,"{ primary: '#0F766E', secondary: '#14B8A6', cta: '#0369A1', background: '#F0FDFA', foreground: '#134E4A' }","box-shadow: 0 0 20px rgba(3,105,161,0.4); text-shadow: 0 0 10px rgba(3,105,161,0.6);","{ background: '#0A0A0A', text: '#F8FAFC', primary: '#0F766E', secondary: '#14B8A6', cta: '#037EC1', border: '#27272A' }","{""background"":""#F0FDFA"",""foreground"":""#134E4A"",""primary"":""#0F766E"",""primary-foreground"":""#FFFFFF"",""secondary"":""#14B8A6"",""secondary-foreground"":""#000000"",""muted"":""#31c9bf"",""accent"":""#0369A1"",""destructive"":""#EF4444""}","[""#1bd0c2"",""#15a398"",""#0F766E"",""#094944"",""#031b1a"",""#14b8a6"",""#0f8a7c""]","{""background"":""#F0FDFA"",""foreground"":""#134E4A"",""card"":""#FFFFFF"",""card-foreground"":""#134E4A"",""popover"":""#FFFFFF"",""popover-foreground"":""#134E4A"",""primary"":""#0F766E"",""primary-foreground"":""#FFFFFF"",""secondary"":""#14B8A6"",""secondary-foreground"":""#000000"",""muted"":""#F4F4F5"",""muted-foreground"":""#71717A"",""accent"":""#0369A1"",""accent-foreground"":""#FFFFFF"",""destructive"":""#EF4444"",""destructive-foreground"":""#FFFFFF"",""border"":""#99F6E4"",""input"":""#99F6E4"",""ring"":""#0F766E""}"
45,Online Course/E-learning,"online, course, learning",#0D9488,#2DD4BF,#EA580C,#F0FDFA,#134E4A,#5EEAD4,Vibrant learning colors + Progress green,"{ primary: '#0D9488', secondary: '#2DD4BF', cta: '#EA580C', background: '#F0FDFA', foreground: '#134E4A' }","box-shadow: 0 0 20px rgba(234,88,12,0.4); text-shadow: 0 0 10px rgba(234,88,12,0.6);","{ background: '#0A0A0A', text: '#F8FAFC', primary: '#0D9488', secondary: '#2DD4BF', cta: '#EA580C', border: '#27272A' }","{""background"":""#F0FDFA"",""foreground"":""#134E4A"",""primary"":""#0D9488"",""primary-foreground"":""#FFFFFF"",""secondary"":""#2DD4BF"",""secondary-foreground"":""#000000"",""muted"":""#31c9bf"",""accent"":""#EA580C"",""destructive"":""#EF4444""}","[""#1cebd9"",""#11c3b3"",""#0D9488"",""#09655d"",""#053632"",""#2dd4bf"",""#23ab9a""]","{""background"":""#F0FDFA"",""foreground"":""#134E4A"",""card"":""#FFFFFF"",""card-foreground"":""#134E4A"",""popover"":""#FFFFFF"",""popover-foreground"":""#134E4A"",""primary"":""#0D9488"",""primary-foreground"":""#FFFFFF"",""secondary"":""#2DD4BF"",""secondary-foreground"":""#000000"",""muted"":""#F4F4F5"",""muted-foreground"":""#71717A"",""accent"":""#EA580C"",""accent-foreground"":""#FFFFFF"",""destructive"":""#EF4444"",""destructive-foreground"":""#FFFFFF"",""border"":""#5EEAD4"",""input"":""#5EEAD4"",""ring"":""#0D9488""}"
46,Non-profit/Charity,"non, profit, charity",#0891B2,#22D3EE,#F97316,#ECFEFF,#164E63,#A5F3FC,Cause-related colors + Trust + Warm,"{ primary: '#0891B2', secondary: '#22D3EE', cta: '#F97316', background: '#ECFEFF', foreground: '#164E63' }","box-shadow: 0 0 20px rgba(249,115,22,0.4); text-shadow: 0 0 10px rgba(249,115,22,0.6);","{ background: '#0A0A0A', text: '#F8FAFC', primary: '#0891B2', secondary: '#22D3EE', cta: '#F97316', border: '#27272A' }","{""background"":""#ECFEFF"",""foreground"":""#164E63"",""primary"":""#0891B2"",""primary-foreground"":""#FFFFFF"",""secondary"":""#22D3EE"",""secondary-foreground"":""#000000"",""muted"":""#3eabd4"",""accent"":""#F97316"",""destructive"":""#EF4444""}","[""#2bcef5"",""#0ab9e3"",""#0891B2"",""#066981"",""#044150"",""#22d3ee"",""#10b4cd""]","{""background"":""#ECFEFF"",""foreground"":""#164E63"",""card"":""#FFFFFF"",""card-foreground"":""#164E63"",""popover"":""#FFFFFF"",""popover-foreground"":""#164E63"",""primary"":""#0891B2"",""primary-foreground"":""#FFFFFF"",""secondary"":""#22D3EE"",""secondary-foreground"":""#000000"",""muted"":""#F4F4F5"",""muted-foreground"":""#71717A"",""accent"":""#F97316"",""accent-foreground"":""#000000"",""destructive"":""#EF4444"",""destructive-foreground"":""#FFFFFF"",""border"":""#A5F3FC"",""input"":""#A5F3FC"",""ring"":""#0891B2""}"
